Mutualism,time_point,type,Combo,Experimental_plate,Culture_ID,OD,ln_diff,exp
facultative,4,EE,Plate 1,e,5G,6.72,-0.10446726,-0.09919571
facultative,4,EA,Plate 1,e,6B,7.72,0.03425895,0.034852547
facultative,4,AE,Plate 1,e,6B,6.72,-0.10446726,-0.09919571
facultative,4,EE,Plate 1,e,6B,6.92,-0.075139645,-0.072386059
facultative,4,EE,Plate 1,e,6B,6.84,-0.086767683,-0.08310992
facultative,4,EA,Plate 1,e,6H,7.1,-0.04946063,-0.048257373
facultative,4,AE,Plate 1,e,6H,6.58,-0.125520669,-0.117962466
facultative,4,EE,Plate 1,e,6H,7.06,-0.055110363,-0.053619303
facultative,0,AA,Plate 1,e,Ancestral,7.5,,
facultative,15,EA,Plate 1,e,6B,7.1,-0.04946063,-0.048257373
facultative,15,AE,Plate 1,e,6B,7.3,-0.021681066,-0.021447721
facultative,15,EE,Plate 1,e,6B,8,0.069886127,0.072386059
facultative,15,EA,Plate 2,e,5B,6.16,-0.052185753,-0.050847458
facultative,15,AE,Plate 2,e,5B,6,-0.078503061,-0.07550077
facultative,15,EE,Plate 2,e,5B,5.64,-0.140378465,-0.130970724
facultative,0,AA,Plate 2,e,Ancestral,6.68,,
facultative,4,EA,Plate 2,e,5B,6.84,0.052525201,0.053929122
facultative,4,AE,Plate 2,e,5B,6.6,0.016807118,0.016949153
facultative,4,EE,Plate 2,e,5B,6.38,-0.017094433,-0.016949153
facultative,0,AA,Plate 2,e,Ancestral,6.3,,
facultative,4,EA,Plate 2,e,5H,6.66,0.025856954,0.026194145
facultative,4,AE,Plate 2,e,5H,6.44,-0.007733991,-0.00770416
facultative,4,EE,Plate 2,e,5H,7.06,0.084182521,0.087827427
facultative,4,EE,Plate 2,e,5H,7.34,0.123076312,0.130970724
facultative,4,EA,Plate 2,e,6C,7.78,0.181293807,0.198767334
facultative,4,AE,Plate 2,e,6C,6.04,-0.071858519,-0.069337442
facultative,4,EE,Plate 2,e,6C,7.6,0.157885717,0.171032357
facultative,4,EE,Plate 2,e,6C,7.4,0.131217469,0.140215716
facultative,4,EA,Plate 2,e,6F,6.7,0.031844996,0.032357473
facultative,4,AE,Plate 2,e,6F,5.7,-0.129796356,-0.121725732
facultative,4,EE,Plate 2,e,6F,6.36,-0.020234153,-0.020030817
facultative,15,EA,Plate 1,c,5D,5.94,0.115890888,0.122873346
facultative,15,AE,Plate 1,c,5D,5.06,-0.044451763,-0.043478261
facultative,15,EE,Plate 1,c,5D,6.2,0.158731046,0.172022684
facultative,0,AA,Plate 1,c,Ancestral,5.28,,
facultative,15,EA,Plate 1,c,5G,5.2,-0.01715962,-0.017013233
facultative,15,AE,Plate 1,c,5G,5.72,0.07815056,0.081285444
facultative,15,EE,Plate 1,c,5G,6.44,0.196710294,0.217391304
facultative,15,EE,Plate 1,c,5G,5.88,0.105738516,0.111531191
facultative,15,EA,Plate 1,c,5D,6.02,0.129269013,0.137996219
facultative,15,AE,Plate 1,c,5D,5.34,0.009407407,0.009451796
facultative,15,EE,Plate 1,c,5D,6.26,0.168361939,0.183364839
facultative,0,AA,Plate 1,c,Ancestral,5.06,,
facultative,15,EA,Plate 1,c,6H,4.6,-0.139761942,-0.130434783
facultative,15,AE,Plate 1,c,6H,4.44,-0.175163869,-0.160680529
facultative,15,EE,Plate 1,c,6H,4.48,-0.166195199,-0.153119093
facultative,0,AA,Plate 1,c,Ancestral,5.3,,
facultative,15,EA,Plate 1,c,5G,5.4,0.020580708,0.020793951
facultative,15,AE,Plate 1,c,5G,5.18,-0.02101319,-0.020793951
facultative,15,EE,Plate 1,c,5G,6.18,0.155500026,0.168241966
facultative,15,EA,Plate 2,c,6C,5.2,0.22074259,0.247002398
facultative,15,AE,Plate 2,c,6C,6.08,0.37708866,0.458033573
facultative,15,EE,Plate 2,c,6C,7,0.517994113,0.678657074
facultative,15,EA,Plate 2,c,6F,4.84,0.148998685,0.160671463
facultative,15,AE,Plate 2,c,6F,4.66,0.111099412,0.117505995
facultative,15,EE,Plate 2,c,6F,6,0.363843433,0.438848921
facultative,0,AA,Plate 2,c,Ancestral,4.32,,
facultative,15,EA,Plate 2,c,5H,5.46,0.269532754,0.309352518
facultative,15,AE,Plate 2,c,5H,3.82,-0.087665613,-0.083932854
facultative,15,EE,Plate 2,c,5H,4.82,0.144857892,0.1558753
facultative,15,EE,Plate 2,c,5H,4.12,-0.012062872,-0.011990408
facultative,15,AE,Plate 2,c,6C,5.2,0.22074259,0.247002398
facultative,15,EE,Plate 2,c,6C,7.06,0.526529016,0.693045564
facultative,15,EE,Plate 2,c,6C,6.78,0.486061066,0.625899281
facultative,15,EA,Plate 2,c,6F,5.82,0.333384226,0.395683453
facultative,15,AE,Plate 2,c,6F,4.32,0.035339366,0.035971223
facultative,15,EE,Plate 2,c,6F,6.06,0.373793764,0.45323741
facultative,0,AA,Plate 2,c,Ancestral,4.02,,
facultative,10,EA,Plate 1,b,5D,8.49,0.032318791,0.032846715
facultative,10,AE,Plate 1,b,5D,9.69,0.164524217,0.178832117
facultative,10,EE,Plate 1,b,5D,10.26,0.221682631,0.248175182
facultative,0,AA,Plate 1,b,Ancestral,8.28,,
facultative,10,EA,Plate 1,b,5G,6.96,-0.166390735,-0.153284672
facultative,10,AE,Plate 1,b,5G,8.91,0.080604032,0.083941606
facultative,10,EE,Plate 1,b,5G,8.04,-0.022141126,-0.02189781
facultative,10,EE,Plate 1,b,5G,7.92,-0.037179003,-0.03649635
facultative,10,EA,Plate 1,b,6B,7.83,-0.048607699,-0.047445255
facultative,10,AE,Plate 1,b,6B,8.01,-0.025879448,-0.025547445
facultative,10,EE,Plate 1,b,6B,7.8,-0.052446475,-0.051094891
facultative,10,EE,Plate 1,b,6B,7.35,-0.111869896,-0.105839416
facultative,10,EA,Plate 1,b,6H,6.9,-0.175048797,-0.160583942
facultative,10,AE,Plate 1,b,6H,7.95,-0.03339828,-0.032846715
facultative,10,EE,Plate 1,b,6H,6.6,-0.21950056,-0.197080292
facultative,0,AA,Plate 1,b,Ancestral,8.28,,
facultative,10,EA,Plate 1,b,5D,7.74,-0.060168521,-0.058394161
facultative,10,AE,Plate 1,b,5D,8.79,0.067044503,0.069343066
facultative,10,EE,Plate 1,b,5D,9.96,0.192006863,0.211678832
facultative,0,AA,Plate 1,b,Ancestral,8.1,,
facultative,10,EA,Plate 1,b,6H,7.2,-0.132489183,-0.124087591
facultative,10,AE,Plate 1,b,6H,7.71,-0.064052021,-0.062043796
facultative,10,EE,Plate 1,b,6H,7.2,-0.132489183,-0.124087591
facultative,10,EA,Plate 2,b,5B,6.18,-0.219902057,-0.197402597
facultative,10,AE,Plate 2,b,5B,6.6,-0.15415068,-0.142857143
facultative,10,EE,Plate 2,b,5B,5.73,-0.295504798,-0.255844156
facultative,0,AA,Plate 2,b,Ancestral,7.95,,
facultative,10,EA,Plate 2,b,5H,9.12,0.169249475,0.184415584
facultative,10,AE,Plate 2,b,5H,5.67,-0.306031211,-0.263636364
facultative,10,EE,Plate 2,b,5H,5.79,-0.285088037,-0.248051948
facultative,10,EE,Plate 2,b,5H,6.72,-0.136132174,-0.127272727
facultative,10,EA,Plate 2,b,6C,7.77,0.009049836,0.009090909
facultative,10,AE,Plate 2,b,6C,7.56,-0.018349139,-0.018181818
facultative,10,EE,Plate 2,b,6C,6.72,-0.136132174,-0.127272727
facultative,10,EE,Plate 2,b,6F,7.14,-0.075507553,-0.072727273
facultative,10,EA,Plate 2,b,6F,8.85,0.13919713,0.149350649
facultative,10,AE,Plate 2,b,6F,7.89,0.024375806,0.024675325
facultative,10,EE,Plate 2,b,6F,6.96,-0.101040855,-0.096103896
facultative,0,AA,Plate 2,b,Ancestral,7.44,,
facultative,10,EA,Plate 2,b,5B,6,-0.24946086,-0.220779221
facultative,10,AE,Plate 2,b,5B,6.81,-0.122828209,-0.115584416
facultative,10,EE,Plate 2,b,5B,5.16,-0.400283749,-0.32987013
facultative,10,EA,Plate 2,b,6F,8.85,0.13919713,0.149350649
facultative,10,AE,Plate 2,b,6F,8.04,0.043208754,0.044155844
facultative,10,EE,Plate 2,b,6F,8.58,0.108213585,0.114285714
facultative,0,AA,Plate 2,b,Ancestral,7.71,,
facultative,8,EA,Plate 1,a,5D,8,0.027885203,0.028277635
facultative,8,AE,Plate 1,a,5D,9.64,0.21436477,0.23907455
facultative,8,EE,Plate 1,a,5D,10.26,0.276696502,0.318766067
facultative,0,AA,Plate 1,a,Ancestral,7.88,,
facultative,8,EA,Plate 1,a,5G,7.16,-0.083046357,-0.079691517
facultative,8,AE,Plate 1,a,5G,7.96,0.022872662,0.023136247
facultative,8,EE,Plate 1,a,5G,7.44,-0.044685489,-0.043701799
facultative,8,EE,Plate 1,a,5G,7.3,-0.06368199,-0.061696658
facultative,8,EA,Plate 1,a,6B,7.02,-0.10279312,-0.097686375
facultative,8,AE,Plate 1,a,6B,8.28,0.06228663,0.064267352
facultative,8,EE,Plate 1,a,6B,7.44,-0.044685489,-0.043701799
facultative,8,EE,Plate 1,a,6B,7.34,-0.058217496,-0.05655527
facultative,8,EA,Plate 1,a,6H,6.88,-0.122937686,-0.115681234
facultative,8,AE,Plate 1,a,6H,7.04,-0.099948168,-0.095115681
facultative,8,EE,Plate 1,a,6H,6.62,-0.161460968,-0.149100257
facultative,0,AA,Plate 1,a,Ancestral,7.68,,
facultative,8,EA,Plate 2,a,5B,6.18,-0.134542208,-0.125884017
facultative,8,AE,Plate 2,a,5B,6.82,-0.036001008,-0.035360679
facultative,8,EE,Plate 2,a,5B,5.78,-0.201456797,-0.182461103
facultative,0,AA,Plate 2,a,Ancestral,7.3,,
facultative,8,EA,Plate 2,a,5H,8.06,0.131053077,0.140028289
facultative,8,AE,Plate 2,a,5H,5.42,-0.265764664,-0.233380481
facultative,8,EE,Plate 2,a,5H,6.36,-0.105832103,-0.100424328
facultative,8,EE,Plate 2,a,5H,6.46,-0.090231162,-0.086280057
facultative,8,EA,Plate 2,a,6C,7.46,0.053694934,0.055162659
facultative,8,AE,Plate 2,a,6C,7.08,0.001413428,0.001414427
facultative,8,EE,Plate 2,a,6C,7.7,0.085359849,0.089108911
facultative,8,EE,Plate 2,a,6F,7.6,0.072287767,0.074964639
facultative,8,EA,Plate 2,a,6F,8.48,0.18184997,0.199434229
facultative,8,AE,Plate 2,a,6F,7.94,0.116052795,0.123055163
facultative,8,EE,Plate 2,a,6F,9.2,0.263343004,0.301272984
facultative,0,AA,Plate 2,a,Ancestral,6.84,,
obligate,2,EA,Plate 1,2,,4.4,,
obligate,2,AE,Plate 1,2,,1.58,,
obligate,2,EE,Plate 1,2,,3.32,,
obligate,0,AA,Plate 1,2,,3.104,,
obligate,0,AA,Plate 1,4,,3.104,,
obligate,0,AA,Plate 1,8,,3.104,,
obligate,2,EA,Plate 1,2,,4.768,,
obligate,2,AE,Plate 1,2,,1.152,,
obligate,2,EE,Plate 1,2,,2.408,,
obligate,0,AA,Plate 1,2,,2.764,,
obligate,0,AA,Plate 1,4,,2.764,,
obligate,0,AA,Plate 1,8,,2.764,,
obligate,4,EA,Plate 1,4,,6.832,,
obligate,4,AE,Plate 1,4,,1.776,,
obligate,4,EE,Plate 1,4,,5.656,,
obligate,4,EA,Plate 1,4,,5.488,,
obligate,4,AE,Plate 1,4,,2,,
obligate,4,EE,Plate 1,4,,3.072,,
obligate,8,EA,Plate 1,8,,7.232,,
obligate,8,AE,Plate 1,8,,1.792,,
obligate,8,EE,Plate 1,8,,7.6,,
obligate,0,AA,Plate 1,2,,3.824,,
obligate,0,AA,Plate 1,4,,3.824,,
obligate,0,AA,Plate 1,8,,3.824,,
obligate,8,EA,Plate 1,8,,5.864,,
obligate,8,AE,Plate 1,8,,1.928,,
obligate,8,EE,Plate 1,8,,6.896,,
obligate,0,AA,Plate 1,2,,3.304,,
obligate,0,AA,Plate 1,4,,3.304,,
obligate,0,AA,Plate 1,8,,3.304,,
obligate,2,EA,Plate 1,2,,4.752,,
obligate,2,AE,Plate 1,2,,1.278,,
obligate,2,EE,Plate 1,2,,2.872,,
obligate,4,EA,Plate 1,4,,5.352,,
obligate,4,AE,Plate 1,4,,1.452,,
obligate,4,EE,Plate 1,4,,5.264,,
obligate,0,AA,Plate 1,2,,3.656,,
obligate,0,AA,Plate 1,4,,3.656,,
obligate,0,AA,Plate 1,8,,3.656,,
obligate,8,EA,Plate 1,8,,6.864,,
obligate,8,AE,Plate 1,8,,1.56,,
obligate,8,EE,Plate 1,8,,6.528,,
obligate,2,EA,Plate 2,2,,3.258,,
obligate,2,AE,Plate 2,2,,1.824,,
obligate,2,EE,Plate 2,2,,3,,
obligate,0,AA,Plate 2,2,,2.148,,
obligate,0,AA,Plate 2,4,,2.148,,
obligate,0,AA,Plate 2,8,,2.148,,
obligate,2,EA,Plate 2,2,,3.474,,
obligate,2,AE,Plate 2,2,,1.254,,
obligate,2,EE,Plate 2,2,,2.163,,
obligate,0,AA,Plate 2,2,,1.929,,
obligate,0,AA,Plate 2,4,,1.929,,
obligate,0,AA,Plate 2,8,,1.929,,
obligate,4,EA,Plate 2,4,,3.606,,
obligate,4,AE,Plate 2,4,,0.768,,
obligate,4,EE,Plate 2,4,,1.281,,
obligate,4,EA,Plate 2,4,,4.164,,
obligate,4,AE,Plate 2,4,,1.494,,
obligate,4,EE,Plate 2,4,,3.33,,
obligate,8,EA,Plate 2,8,,5.88,,
obligate,8,AE,Plate 2,8,,1.821,,
obligate,8,EE,Plate 2,8,,2.862,,
obligate,0,AA,Plate 2,2,,2.016,,
obligate,0,AA,Plate 2,4,,2.016,,
obligate,0,AA,Plate 2,8,,2.016,,
obligate,8,EA,Plate 2,8,,3.288,,
obligate,8,AE,Plate 2,8,,1.599,,
obligate,8,EE,Plate 2,8,,2.592,,
obligate,0,AA,Plate 2,2,,2.019,,
obligate,0,AA,Plate 2,4,,2.019,,
obligate,0,AA,Plate 2,8,,2.019,,
obligate,2,EA,Plate 2,2,,3.414,,
obligate,2,AE,Plate 2,2,,1.722,,
obligate,2,EE,Plate 2,2,,3.648,,
obligate,4,EA,Plate 2,4,,3.282,,
obligate,4,AE,Plate 2,4,,2.844,,
obligate,4,EE,Plate 2,4,,3.384,,
obligate,0,AA,Plate 2,2,,2.004,,
obligate,0,AA,Plate 2,4,,2.004,,
obligate,0,AA,Plate 2,8,,2.004,,
obligate,8,EA,Plate 2,8,,5.616,,
obligate,8,AE,Plate 2,8,,0.876,,
obligate,8,EE,Plate 2,8,,1.719,,
obligate,10,EA,Plate 1,10,,7.22,,
obligate,10,AE,Plate 1,10,,1.435,,
obligate,10,EE,Plate 1,10,,4.43,,
obligate,0,AA,Plate 1,10,,2.18,,
obligate,10,EA,Plate 1,10,,3.77,,
obligate,10,AE,Plate 1,10,,2.745,,
obligate,10,EE,Plate 1,10,,3.49,,
obligate,10,EE,Plate 1,10,,3.31,,
obligate,10,EA,Plate 1,10,,7.48,,
obligate,10,AE,Plate 1,10,,1.06,,
obligate,10,EE,Plate 1,10,,2.59,,
obligate,10,EE,Plate 1,10,,2.25,,
obligate,15,EA,Plate 1,10,,7.17,,
obligate,15,AE,Plate 1,10,,1.105,,
obligate,15,EE,Plate 1,10,,2.77,,
obligate,15,EE,Plate 1,10,,2.515,,
obligate,15,EA,Plate 1,10,,4.63,,
obligate,15,AE,Plate 1,10,,1.165,,
obligate,15,EE,Plate 1,10,,1.62,,
obligate,0,AA,Plate 1,10,,2.305,,
obligate,15,EA,Plate 1,10,,7.33,,
obligate,15,AE,Plate 1,10,,1.235,,
obligate,15,EE,Plate 1,10,,3.11,,
obligate,0,AA,Plate 1,10,,2.255,,
obligate,10,EA,Plate 2,10,,4.24,,
obligate,10,AE,Plate 2,10,,1.23,,
obligate,10,EE,Plate 2,10,,5.78,,
obligate,0,AA,Plate 2,10,,1.38,,
obligate,10,EA,Plate 2,10,,2.28,,
obligate,10,AE,Plate 2,10,,2.72,,
obligate,10,EE,Plate 2,10,,3.89,,
obligate,10,EE,Plate 2,10,,3.47,,
obligate,10,EA,Plate 2,10,,5.02,,
obligate,10,AE,Plate 2,10,,0.69,,
obligate,10,EE,Plate 2,10,,1.83,,
obligate,10,EE,Plate 2,10,,1.925,,
obligate,15,EA,Plate 2,10,,4.43,,
obligate,15,AE,Plate 2,10,,1.105,,
obligate,15,EE,Plate 2,10,,2.64,,
obligate,15,EE,Plate 2,10,,2.755,,
obligate,15,EA,Plate 2,10,,2.61,,
obligate,15,AE,Plate 2,10,,1.91,,
obligate,15,EE,Plate 2,10,,2.15,,
obligate,0,AA,Plate 2,10,,1.325,,
obligate,15,EA,Plate 2,10,,4.68,,
obligate,15,AE,Plate 2,10,,0.945,,
obligate,15,EE,Plate 2,10,,2.05,,
obligate,0,AA,Plate 2,10,,1.05,,
